created_at;Tweet;username
Sat Nov 04 23:25:33 +0000 2023;"amriki ama israel dicekokin sejarah versi pemerintah bertahun tahun, scholars tentu ada tapi kapasitas mereka bicara"" tentu dibatasi, akhirnya melahirkan generasi y dan z yang dungu disana""";dumbq_
Sat Nov 04 22:38:08 +0000 2023;Aku adalah bagian dari lapis generasi yg menumbangkan suharto karna C4:C7 lapis generasi yg mirip dg saat itu, ialah apa yg sekarang disebut gen z, dan itu adalah generasi anakku, selalu kuceritakan tragedi tsb ke anakku agar sejarah kelam itu tak terulang;cenytha2115501
Sat Nov 04 21:54:03 +0000 2023;@kazenoshippo @Outstandjing Apa yang mau diharapkan sama generasi fomo itu sih  Udah tau gen Z tolol2;KlMJONGGUN
Sat Nov 04 18:08:27 +0000 2023;@Ghozwul_Fikr @RayyanAzzuhri @neohistoria_id Seburuk2nya Gen Z gak bikin bangsa Indonesia terpecah2 gara2 HANYA beda pilihan politik, soalnya generasi boomer tua bangka kayak lu yang bikin pecah belah;waltuhamogus
Sat Nov 04 17:06:49 +0000 2023;Acara deklarasi dukungan capres dan cawapres Ganjar Pranowo-Mahfud MD Jawa Tengah di GOR Jatidiri, Kota Semarang, Sabtu (4/11/2023) berlangsung meriah.  Sekitar 10.000 orang memadati venue, termasuk generasi millenial dan generasi Z Solo Raya. Sementara Ganjar Pranowo hadir… https://t.co/WzyVQRHoaT;sahabatganjar
Sat Nov 04 16:59:40 +0000 2023;@Hilmi_ak Generasi emas terus Belgia ga menang2;KuntoAjiW
Sat Nov 04 16:47:11 +0000 2023;Wow… kekuar dari mulut generasi Z. They’re smart….;snakeonthebed
Sat Nov 04 16:07:41 +0000 2023;@gm_gm @BM7NOGO GEN BOBROK! Begini MENTALITAS BUSUK yg digadang2 perwakilan Gen Z. Yg muda yg BOBROK. Belum apa2 sudah praktek korup, sudah korup belum apa2. Apakah Gen Z bangga dg kebobrokan busuk ini? GENERASI BOBROK.  Muda MOVE ON untuk kemudian BOBROK! #PSI #Kaesang https://t.co/NpkDmf9dtu;chillinaris_inc
Sat Nov 04 15:16:23 +0000 2023;Sedikit ngerti tentang KPop ternyata mbantu menjembati gap generasi, karena ada bahan utk masuk obrolan gen Z, bahkan bocil. Dengan begitu bisa komunikasi lanjut bahas yg lain.   Kesamaan pengalaman dan referensi penting juga ternyata. Kita jd lebih mudah komunikasi.;sudiyah262
Sat Nov 04 14:58:36 +0000 2023;Acara deklarasi dukungan capres dan cawapres Ganjar Pranowo-Mahfud MD Jawa Tengah di GOR Jatidiri, Kota Semarang, Sabtu (4/11/2023) berlangsung meriah.  Sekitar 10.000 orang memadati venue, termasuk generasi millenial dan generasi Z Solo Raya. Sementara Ganjar Pranowo hadir… https://t.co/jFPfpzwqN6;sahabatganjar
Sat Nov 04 14:53:20 +0000 2023;haii guyss!!! bantu isi kuesioner yukkk  ketentuan :  1. Generasi millenial/ Gen Z 2. sudah bekerja atau belum bekerja 3. Sedang atau dalam proses melamar pekerjaan 4. Berdomisili di daerah Jabodetabek dan Bandung  https://t.co/dcd9xb46q8  thankss have a nice day🌈;itskyqii
